Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,QGE613,QGE614,QGE615,QGE637,QGE638,QGE639,QGE661,QGE662,QGE663,QGE742,QGE743,QGE744,QGE760,QGE761,QGE762,QGE685,QGE686,QGE687,QGE621,QGE622,QGE623,QGE645,QGE646,QGE647,QGE669,QGE670,QGE671,QGE748,QGE749,QGE750,QGE766,QGE767,QGE768,QGE693,QGE694,QGE695
154.0145576,6,5,4,1,0,0,0,0,CHON,Tannin,155.0218341,0.152047594,1,37114800,50606864,53525256,39131532,37975256,44502324,28914266,33335354,33054472,15589849,9970185,12829080,13725163,17285202,21592356,9917083,10624653,8168831,26325546,33724812,18869904,37050068,31923724,34914716,31782446,34173104,31596928,27989696,27902318,22324820,33891048,38399640,34472140,27240260,19248526,21756268
154.0509533,7,9,3,1,0,0,0,0,CHON,Lignin,155.0582298,0.086477868,1,5861922.5,5748568,6423968.5,6300354.5,6972541,6504756,0,6328769,6519013,0,5911406.5,0,6471655,6296321,7225580.5,7782343.5,6731979,7408785.5,7521226.5,6750946.5,5128722,6691003,6271681,6482253.5,7097136,6707995.5,6601321.5,6171572.5,5809254.5,0,6108770.5,6337528.5,0,6175574,6430709.5,5625907
154.9806808,0,0,0,0,0,0,0,0,,None,155.9879572,0,0,8440034,10278524,10158455,7240332.5,5820996.5,6018746,0,0,0,0,0,0,0,0,0,0,0,0,5597857,8016620,0,8022974.5,6961482,7323222.5,0,6227349,0,0,0,0,5992546,0,0,0,0,0
154.9984705,0,0,0,0,0,0,0,0,,None,156.0057469,0,0,19108910,25272372,24358522,21047830,12838037,17484722,9807558,10272657,8081311,0,0,0,5984985.5,9872980,9081342,0,0,0,15819297,21155368,8259822,20683044,18966468,20834800,23000346,39210036,19070386,15776769,7399616.5,14441511,16088133,15593838,9919746,11661279,5684056.5,7576977
155.0349429,7,8,4,0,0,0,0,0,CHO,Lignin,156.0422193,0.252495421,1,9608697,12856051,11134867,9439577,9125082,8558603,6527168,7173970.5,7214774,0,0,0,6263467.5,7183880,7745825.5,5716299,0,0,11317328,12194463,6130341.5,12339172,8884239,10151158,8577897,10240102,9602954,6501783,7710470,7244975.5,8384124,8472854,8105747.5,7911517.5,7500787,8475499
155.071387,8,12,3,0,0,0,0,0,CHO,Protein,156.0786635,-0.123025741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6680316.5,0,0,6180724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.5847226,0,0,0,0,0,0,0,0,,None,156.591999,0,0,0,0,0,0,0,0,0,5774608.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156.0301507,0,0,0,0,0,0,0,0,,None,157.0374271,0,0,0,5033748.5,0,5087046.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5344053,5353117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156.9964284,0,0,0,0,0,0,0,0,,None,158.0037049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6004493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.0506348,7,10,4,0,0,0,0,0,CHO,Lignin,158.0579113,-0.015563228,1,12587890,14481198,12620242,9347149,10322235,11764258,10661210,10839527,9207748,6053189,0,0,6669869,8419251,7541589.5,9555081,8137223,7932687,19920718,17815510,12408091,16460581,15030842,14725520,10431790,12228945,12022577,7065708.5,8225078.5,8272120,8392988,0,0,7760713.5,10318292,7206691.5
157.087012,8,14,3,0,0,0,0,0,CHO,Protein,158.0942885,0.036697271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5167447.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.123395,9,18,2,0,0,0,0,0,CHO,Lipid,158.1306714,0.053102562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6257138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158.0457486,0,0,0,0,0,0,0,0,,None,159.0530251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6690490.5,0,0,5094104.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158.0611068,10,9,1,1,0,0,0,0,CHON,UnsatHC,159.0683833,0.192518989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6363283.5,0,0,0,0,5316406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158.0821295,0,0,0,0,0,0,0,0,,None,159.0894059,0,0,0,8140131,6407166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11627460,9291765,7121110,8565382,7687638,6632626.5,0,0,0,0,0,0,0,0,0,0,0,0
159.0298777,6,8,5,0,0,0,0,0,CHO,Tannin,160.0371542,0.120001192,1,0,17829162,15142712,0,0,10645715,0,10223146,5582126.5,0,0,5913037.5,8898345,11988094,12176297,5973320,9880852,10913530,0,0,0,13670826,5447565,12391832,12454845,15405868,13115758,0,8160575,0,12456447,13696068,12297379,11733146,12256684,11603895
159.045116,10,8,2,0,0,0,0,0,CHO,Lignin,160.0523924,0.231634796,1,19863600,22724926,20473754,20975728,21311456,21338728,21552770,21639432,20305692,20949872,20928262,22866588,22619780,21236808,24448182,24796422,20947144,22240776,22286344,22243270,21076262,21742706,20999742,22694890,23063962,21255242,19960554,21380602,22628936,22702092,21451904,26613872,23170708,21843646,21930544,19510852
159.0562832,0,0,0,0,0,0,0,0,,None,160.0635597,0,0,6362329,7054278,7539205.5,6413482,6550454.5,7497137,6793448,7013529,5827005,7336080,7128254,6744392.5,7275601.5,8236436,7780658,9171805,7692975.5,6009353.5,7500855.5,7494994.5,9078509,7797190,6200321.5,6999650,7296920.5,0,6619304,7501735,7443283.5,7188504.5,7628966.5,8054100.5,7513882.5,7230280.5,6267777.5,7458589
159.0662095,0,0,0,0,0,0,0,0,,None,160.0734859,0,0,0,13000143,9502885,0,0,6358866.5,6947914,9003315,0,0,0,0,0,0,0,10927459,6312340,5708162,32594176,12262416,20266172,20403378,11263133,13752274,7912183,7487602,6651178,0,5659795.5,0,5645432,0,0,0,6466459.5,0
159.0846111,0,0,0,0,0,0,0,0,,None,160.0918875,0,0,0,0,0,0,0,0,0,0,0,0,13510399,0,0,0,0,0,0,0,7537474,5589767,18261500,0,0,0,0,0,0,0,0,8526662,0,0,0,0,0,0
159.1026369,8,16,3,0,0,0,0,0,CHO,Protein,160.1099134,0.193684837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7779958.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160.0403542,9,7,2,1,0,0,0,0,CHON,ConHC,161.0476307,0.296892403,1,24580570,29015908,26123904,22965004,24558470,26271898,23996700,25233576,23833950,25170108,22720036,24335314,22664412,22471398,26590824,22190536,20959612,21118384,25278856,25649898,26001774,25736004,24913406,27542796,24178806,21078994,21405144,23992206,23708068,22801208,21916574,25871034,24105380,22479648,22629714,24136228
160.8420138,0,0,0,0,0,0,0,0,,None,161.8492903,0,0,6311050,0,11162875,8039379.5,9758152,0,7589181,6396267.5,7689653,7242416,7992127,0,7262649,0,0,12266306,6323277,0,0,5735274.5,0,0,0,0,15582874,6638791.5,0,0,0,0,0,0,0,0,0,0
160.9880127,0,0,0,0,0,0,0,0,,None,161.9952892,0,1,9811264,9020012,7453770,9709833,9524108,12410545,12827891,12238097,10015382,0,12815474,12612922,0,8866212,6818175.5,14941986,11925395,8398775,16977772,15398068,25201778,7610459,9638714,11319638,7857580,7450581,7170099.5,14679653,19754272,20317556,8782856,11624887,10304817,13714776,11730330,11778602
161.0243469,0,0,0,0,0,0,0,0,,None,162.0316234,0,0,104763520,118499040,111069680,108392328,109761032,107203240,112505144,124873912,117751600,117912704,91044272,111616568,125397256,128061656,143668448,111646704,122198640,120483528,89317456,102980728,72380320,109422064,105804552,117338096,118826664,159884384,113919144,120635304,121221808,120872456,117556552,145199280,135783472,134297664,123609472,128952256
161.0267835,0,0,0,0,0,0,0,0,,None,162.03406,0,0,0,0,0,5366297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161.0355516,0,0,0,0,0,0,0,0,,None,162.0428281,0,0,21719098,23298392,22116170,19268854,20119464,21837924,20335862,21002742,20003528,21586524,21900140,21005514,19958808,20316736,21894208,23040746,20302416,18701030,20629962,20969652,20979898,20359400,19617248,21384552,17381898,15375831,19664040,19746836,20048950,19470544,17440078,21356120,20218534,21531548,19750380,21626812
161.0454444,0,0,0,0,0,0,0,0,,None,162.0527209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8923766,5150441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161.0607458,0,0,0,0,0,0,0,0,,None,162.0680222,0,0,15696755,19740078,17910686,16999388,17342786,18624078,18465422,19794040,16172854,17022260,16509191,19004102,21282656,18391420,20172006,27999206,22623182,24567872,23534752,19893052,20223918,21925100,18781108,22172110,20807204,19145130,18597712,17931020,19193234,19700878,18977104,23913406,19596392,21411126,21618806,19448916
162.0195635,0,0,0,0,0,0,0,0,,None,163.02684,0,0,65830676,65401736,57943464,53466920,54103756,55781660,52316176,54083272,54448876,38124888,33384648,34536840,30768722,40802192,41383748,31571076,30200244,27198672,47114484,53656876,44774604,51864384,49686376,53424220,50112340,44098752,51447332,41702472,39265500,39231504,35672432,43356052,39715368,36439792,35138440,38049748
162.0277579,0,0,0,0,0,0,0,0,,None,163.0350344,0,0,12132097,12489645,12356789,11618774,12142954,12505672,10761356,11856757,11183113,10881543,8140995.5,10499076,12454639,12549916,13200784,11445668,11244353,10862670,10866449,11141466,8468582,12195131,10521699,12618024,13264144,15755728,11039139,12560982,11687720,11509902,10675507,14931024,13723716,13062095,12143990,12846674
162.0308133,0,0,0,0,0,0,0,0,,None,163.0380897,0,0,6831828.5,7355140,6985691.5,6542412.5,7068529.5,6959359.5,0,6508052,5889967.5,7673341.5,7144890,7366610,5913485.5,6422187,6423975,7549091,6935183.5,5685165,7043504,6068881,6386588,6359289,6269121,6347039,5998135.5,0,7168098,6636380.5,0,0,0,7672727,6409717.5,6952102,5820245.5,6677120.5
162.0559648,0,0,0,0,0,0,0,0,,None,163.0632412,0,0,14504201,18710682,15431734,15986554,15389827,17797648,15163203,16642702,14643868,17268844,15881049,17102918,17814244,14683759,16288918,16245183,15372037,15827623,18484582,18676032,17810966,19434634,15614451,17639850,16491786,15295050,16505131,16055419,17320344,14569049,14858603,19136134,16899570,16233847,16380542,15347193
162.5926201,0,0,0,0,0,0,0,0,,None,163.5998966,0,0,0,0,0,0,0,0,0,6970294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162.8390248,0,0,0,0,0,0,0,0,,None,163.8463013,0,0,7374147.5,0,12052028,8356242.5,10384593,0,9996397,7625830.5,9017258,6899437,8988755,0,8488935,0,0,15858101,7697903,0,0,6348527.5,0,0,0,0,18768638,6368472,0,0,0,5770903,0,0,0,0,0,0
163.0035918,0,0,0,0,0,0,0,0,,None,164.0108683,0,0,56000416,37554020,35970704,46037688,47118404,35869572,36870616,33932300,40721372,27542566,35713164,33848932,12885786,38239676,35489656,27875608,29965702,21272720,38225036,48446292,33200224,35909372,45038388,39484984,32573336,41964260,35993880,51630748,34024760,42265840,36021736,42439596,44379472,36383640,35743368,35059196
163.0148426,0,0,0,0,0,0,0,0,,None,164.022119,0,0,5367107.5,6491368,5605378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5141073.5,0,5252996.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.022913,0,0,0,0,0,0,0,0,,None,164.0301894,0,0,6350521,6149724.5,5657509.5,5351752.5,0,5163621.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5241999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.0376383,0,0,0,0,0,0,0,0,,None,164.0449148,0,0,0,6525054,5549145.5,0,6995447,6348329.5,0,8301379,5800970.5,0,0,0,0,7855655.5,8106409.5,7805217.5,5977034.5,6964080,0,5436813,0,6411726.5,5662291.5,6811984.5,7456504.5,6154802,0,0,0,0,0,8315009.5,6530602.5,6094844,7903937.5,6630155
163.0378684,0,0,0,0,0,0,0,0,,None,164.0451448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5085045.5,0,0,0,0,0,7294005,0,0,0,6680463,0,0,0,0,0
163.0400373,9,8,3,0,0,0,0,0,CHO,Lignin,164.0473138,0.184772728,1,182096528,248849296,223648640,204162992,199745408,234520768,216269136,246359744,217421456,128244760,67681976,138274480,116929344,236178992,264435216,227366160,228411152,233016832,215453824,226733008,149321936,280746720,225950624,277865760,240109808,238068384,220322192,167656400,190921952,183232640,230044976,285551968,243585152,283000064,283297984,242822480
163.0424966,0,0,0,0,0,0,0,0,,None,164.0497731,0,0,6006002.5,8021400,0,5993751.5,7799537.5,5800728,6632884.5,8396626,6995638,0,0,0,0,6762617,9954773,0,0,8550327,6215163,6979259.5,5369114.5,7148915.5,6310045,0,6128423.5,0,0,6034429,0,6713996,0,0,0,9260710,9554676,8290153.5
163.042745,0,0,0,0,0,0,0,0,,None,164.0500214,0,0,0,0,7222114.5,0,0,0,0,0,0,0,0,6166896.5,0,0,0,0,8181952,0,0,0,0,0,0,7526602,0,7962841,8018472,0,8301843,0,0,0,7771011,0,0,0
163.0512961,8,8,2,2,0,0,0,0,CHON,Lignin,164.0585726,0.030023536,1,8490896,10578112,9768230,8014148,7773751,9481270,7703961.5,9963872,7922964,9414164,8774164,9905068,10289497,9765893,9487524,7588399,6925280.5,7763716.5,10258007,9893396,9608470,10915614,7116951.5,9664546,9043629,7376055,8457785,8399642,9794718,8928992,9135851,10063228,7662362,8795468,8299561.5,8581967
163.0764433,10,12,2,0,0,0,0,0,CHO,Lignin,164.0837198,0.06017387,1,7126568,9179557,7845208,7881728.5,7365296,8276820,9979522,10208889,8348808,9648298,10255943,9949150,10953727,10185032,12109307,16481962,12328373,13402719,12687756,10028395,10569543,10842255,9736137,9799397,9542104,10181473,9048370,10861472,9115456,9996668,9412260,12249139,10037114,11523477,11069298,10167031
